dari_term,english_term,definition_dari,preferred_form,forbidden_forms,first_appearance
ساختار ماتریسی,Matrix Structure,راپور‌دهی هم‌زمان به مسئول فنی و مسئول پروژه,ساختار ماتریسی,گزارش,پیوست 1 / سراسر کتاب
صلاحیت,Authority,حق تصمیم‌گیری و به‌کارگیری منابع,صلاحیت,,پیوست 1 / سراسر کتاب
مسؤولیت,Responsibility,وظیفه‌ای که یک نفر می‌پذیرد,مسؤولیت,,پیوست 1 / سراسر کتاب
حساب‌دهی,Accountability,پاسخ‌دهی برای نتیجهٔ کار,حساب‌دهی,,پیوست 1 / سراسر کتاب
تفویض صلاحیت,Delegation,سپردن کار و اختیار آن به کارمند,تفویض صلاحیت,,پیوست 1 / سراسر کتاب
تصمیم‌گیری,Decision Making,انتخاب یک مسیر از میان گزینه‌ها با پذیرش پیامد,تصمیم‌گیری,,پیوست 1 / سراسر کتاب
نقطه تصمیم,Decision Point,لحظه‌ای که انتخاب یکی از گزینه‌ها لازم است,نقطه تصمیم,,پیوست 1 / سراسر کتاب
سیاههٔ تصمیم,Decision Log,ثبت تصمیم، دلیل، مسئول و بازبینی,سیاههٔ تصمیم,,پیوست 1 / سراسر کتاب
گزینه,Option,یکی از مسیرهای ممکن برای حل مسئله,گزینه,,پیوست 1 / سراسر کتاب
معیار,Criterion,میزانی که با آن گزینه‌ها سنجیده می‌شوند,معیار,,پیوست 1 / سراسر کتاب
خطر,Risk,احتمال وقوع رویداد نامطلوب و اندازهٔ اثر آن,خطر,,پیوست 1 / سراسر کتاب
عدم اطمینان,Uncertainty,حالتی که نه نتیجه و نه احتمال آن روشن است,عدم اطمینان,,پیوست 1 / سراسر کتاب
سیاههٔ خطر,Risk Register,جدول احتمال، اثر، پاسخ و مسئول خطر‌ها,سیاههٔ خطر,,پیوست 1 / سراسر کتاب
تأییدطلبی,Confirmation Bias,دیدن تنها شواهدی که با فرض اولیه هم‌خوان است,تأییدطلبی,,پیوست 1 / سراسر کتاب
لنگر انداختن,Anchoring,تأثیر نخستین رقم یا نظر بر تصمیم,لنگر انداختن,,پیوست 1 / سراسر کتاب
هزینهٔ غرق‌شده,Sunk Cost,هزینهٔ گذشته که نباید بر تصمیم امروز اثر بگذارد,هزینهٔ غرق‌شده,,پیوست 1 / سراسر کتاب
تحلیل مسیر,Root Cause Analysis,یافتن ریشهٔ مسئله (مانند «پنج چرا»),تحلیل مسیر,,پیوست 1 / سراسر کتاب
سوات,SWOT,تحلیل قوت، ضعف، فرصت و تهدید,سوات,,پیوست 1 / سراسر کتاب
مأموریت,Mission,پاسخ سازمان به «برای چه هستیم و برای چه کسی»,مأموریت,,پیوست 1 / سراسر کتاب
چشم‌انداز,Vision,تصویر وضعیت مطلوب در آینده,چشم‌انداز,,پیوست 1 / سراسر کتاب
ارزش‌ها,Values,قواعد رفتاری سازمان,ارزش‌ها,,پیوست 1 / سراسر کتاب
اولویت‌بندی,Prioritization,تعیین ترتیب کار‌ها بر اساس اثر و توان,اولویت‌بندی,,پیوست 1 / سراسر کتاب
ذی‌نفع,Stakeholder,هر کس که از کار سازمان اثر می‌گیرد یا اثر می‌گذارد,ذی‌نفع,,پیوست 1 / سراسر کتاب
فرهنگ سازمانی,Organizational Culture,باور‌ها و رفتار‌های پذیرفته‌شده در سازمان,فرهنگ سازمانی,,پیوست 1 / سراسر کتاب
مسئولیت اجتماعی,Social Responsibility,رفتار مسؤول سازمان در برابر مردم، کارمندان و محیط,مسئولیت اجتماعی,,پیوست 1 / سراسر کتاب
اخلاق مدیریتی,Managerial Ethics,اصول درست و نادرست در تصمیم و رفتار مدیریتی,اخلاق مدیریتی,,پیوست 1 / سراسر کتاب
صداقت,Integrity,هم‌راستایی گفتار و کردار، استواری بر اصول,صداقت,,پیوست 1 / سراسر کتاب
محرمانگی,Confidentiality,حفظ اطلاعات خصوصی مریض و کارمند,محرمانگی,,پیوست 1 / سراسر کتاب
تضاد منافع,Conflict of Interest,وضعیتی که منفعت شخصی با وظیفهٔ سازمانی در تضاد است,تضاد منافع,,پیوست 1 / سراسر کتاب
سوءاستفاده از صلاحیت,Abuse of Authority,استفادهٔ نادرست از اختیار برای منفعت یا آزار,سوءاستفاده از صلاحیت,,پیوست 1 / سراسر کتاب
رفتار حرفه‌ای,Professional Conduct,رفتار شایسته، محترمانه و مسؤول در کار,رفتار حرفه‌ای,,پیوست 1 / سراسر کتاب
تصمیم اخلاقی,Ethical Decision,تصمیمی که شفاف، منصفانه و قابل دفاع عمومی باشد,تصمیم اخلاقی,,پیوست 1 / سراسر کتاب
تیم,Team,جمعی با نتیجهٔ مشترک و مسئولیت مشترک,تیم,,پیوست 1 / سراسر کتاب
گروه,Group,جمعی با هدف مشترک اما مسئولیت فردی,گروه,,پیوست 1 / سراسر کتاب
نقش کاری,Work Role,وظیفه و انتظار رفتاری در تیم,نقش کاری,,پیوست 1 / سراسر کتاب
هنجار,Norm,رفتار پذیرفته‌شدهٔ تیم,هنجار,,پیوست 1 / سراسر کتاب
اعتماد,Trust,باور به کفایت، پیش‌بینی‌پذیری و صداقت دیگری,اعتماد,,پیوست 1 / سراسر کتاب
همکاری,Collaboration,کار مشترک برای رسیدن به نتیجهٔ مشترک,همکاری,,پیوست 1 / سراسر کتاب
رهبری تیم,Team Leadership,هدایت تیم متناسب با مرحلهٔ رشد آن,رهبری تیم,,پیوست 1 / سراسر کتاب
منازعهٔ کاری,Task Conflict,اختلاف دربارهٔ کار، داده و روش,منازعهٔ کاری,,پیوست 1 / سراسر کتاب
منازعهٔ رابطه‌ای,Relationship Conflict,اختلاف شخصی، بی‌اعتمادی و بدگویی,منازعهٔ رابطه‌ای,,پیوست 1 / سراسر کتاب
تشدید منازعه,Conflict Escalation,بالا گرفتن منازعه از اختلاف پنهان به تخریب,تشدید منازعه,,پیوست 1 / سراسر کتاب
میانجی‌گری,Mediation,دخالت بی‌طرف برای رساندن دو طرف به توافق,میانجی‌گری,,پیوست 1 / سراسر کتاب
مذاکره,Negotiation,گفت‌وگو برای رسیدن به توافق میان دو طرف,مذاکره,,پیوست 1 / سراسر کتاب
پلان‌گذاری نیروی کار,Workforce Planning,پیش‌بینی نیاز به نیروی انسانی و مهارت‌ها,پلان‌گذاری نیروی کار,,پیوست 1 / سراسر کتاب
شرح وظایف,Job Description,سند مسئولیت‌ها، معیار‌ها و شرایط یک پُست,شرح وظایف,,پیوست 1 / سراسر کتاب
استخدام,Recruitment,جذب متقاضیان برای یک پُست,استخدام,,پیوست 1 / سراسر کتاب
انتخاب,Selection,برگزیدن فرد مناسب از میان متقاضیان,انتخاب,,پیوست 1 / سراسر کتاب
قرارداد آزمایشی,Probation,دورهٔ نخست کار با بازبینی مشخص,قرارداد آزمایشی,,پیوست 1 / سراسر کتاب
معارفهٔ اداری,Orientation,معرفی سازمان، سیاست‌ها و رویه‌ها به کارمند جدید,معارفهٔ اداری,,پیوست 1 / سراسر کتاب
راهنمایی کاری,Onboarding,آماده‌سازی کارمند جدید برای انجام کار پُست,راهنمایی کاری,,پیوست 1 / سراسر کتاب
برنامهٔ 90 روز,Initial 90-Day Plan,برنامهٔ سه‌ماههٔ نخست کارمند جدید,برنامهٔ 90 روز,,پیوست 1 / سراسر کتاب
آموزش,Training,افزایش مهارت و دانش کارمند,آموزش,,پیوست 1 / سراسر کتاب
مدیریت عملکرد,Performance Management,چرخهٔ هدف‌گذاری، بازخورد، سنجش و بهبود,مدیریت عملکرد,,پیوست 1 / سراسر کتاب
سنجش عملکرد,Performance Appraisal,ارزیابی دوره‌ای کار کارمند با معیار روشن,سنجش عملکرد,,پیوست 1 / سراسر کتاب
بازخورد,Feedback,اطلاعات دربارهٔ اثر کار، با بیان مشخص,بازخورد,,پیوست 1 / سراسر کتاب
مربی‌گری,Coaching,همراهی کارمند برای رسیدن به راه‌حل خود,مربی‌گری,,پیوست 1 / سراسر کتاب
حضور و غیاب,Attendance,نظم حضور در کار و ثبت آن,حضور و غیاب,,پیوست 1 / سراسر کتاب
مرخصی,Leave,حق قانونی کارمند به استراحت یا نبود موقت,مرخصی,,پیوست 1 / سراسر کتاب
نظم اداری,Discipline,مجموعهٔ مراحل حفظ استاندارد و انصاف,نظم اداری,,پیوست 1 / سراسر کتاب
رفاه کارمند,Employee Welfare,توجه به سلامت، ایمنی، کرامت و آسایش کارمند,رفاه کارمند,,پیوست 1 / سراسر کتاب
نگهداشت,Retention,حفظ کارمندان خوب در سازمان,نگهداشت,,پیوست 1 / سراسر کتاب
جدایی,Separation,پایان رابطهٔ کاری، ماهرانه و مستند,جدایی,,پیوست 1 / سراسر کتاب
تحویل کار,Handover,انتقال کار، اسناد و ارتباطات به جانشین,تحویل کار,,پیوست 1 / سراسر کتاب
انگیزه,Motivation,نیروی درونی و بیرونی برای تلاش,انگیزه,,پیوست 1 / سراسر کتاب
انگیزهٔ درونی,Intrinsic Motivation,انگیزه از معنی، رشد و احساس مؤثر بودن,انگیزهٔ درونی,,پیوست 1 / سراسر کتاب
انگیزهٔ بیرونی,Extrinsic Motivation,انگیزه از پاداش، تقدیر یا فشار بیرونی,انگیزهٔ بیرونی,,پیوست 1 / سراسر کتاب
تقدیر,Recognition,دیدن و گفتن کار خوب به‌صورت مشخص,تقدیر,,پیوست 1 / سراسر کتاب
پاداش,Reward,جبران ملموس برای عملکرد,پاداش,,پیوست 1 / سراسر کتاب
انصاف,Fairness,یک‌سانی رویه و برخورد میان کارمندان,انصاف,,پیوست 1 / سراسر کتاب
کار معنادار,Meaningful Work,کار با پیوند روشن به نتیجه و زندگی مردم,کار معنادار,,پیوست 1 / سراسر کتاب
رشد,Growth,مسیر یادگیری و پیشرفت کارمند,رشد,,پیوست 1 / سراسر کتاب
شخصیت,Personality,الگوهای پایدار رفتار و تفکر,شخصیت,,پیوست 1 / سراسر کتاب
ادراک,Perception,شیوهٔ دیدن و تفسیر واقعیت,ادراک,,پیوست 1 / سراسر کتاب
نگرش,Attitude,آمادگی ذهنی برای واکنش به کار و محیط,نگرش,,پیوست 1 / سراسر کتاب
رضایت شغلی,Job Satisfaction,احساس خوشنودی از کار و شرایط آن,رضایت شغلی,,پیوست 1 / سراسر کتاب
فشار کاری,Stress,فشار جسمی و روانی ناشی از کار,فشار کاری,,پیوست 1 / سراسر کتاب
هیجان,Emotion,حالت روانی که بر داوری و رفتار اثر دارد,هیجان,,پیوست 1 / سراسر کتاب
تفاوت‌های فردی,Individual Differences,تفاوت انسان‌ها در شخصیت، انگیزه و مهارت,تفاوت‌های فردی,,پیوست 1 / سراسر کتاب
رفتار سازمانی,Organizational Behavior,مطالعهٔ رفتار فرد و گروه در سازمان,رفتار سازمانی,,پیوست 1 / سراسر کتاب
سبک رهبری,Leadership Style,الگوی رفتاری مدیر در هدایت دیگران,سبک رهبری,,پیوست 1 / سراسر کتاب
رهبری موقعیتی,Situational Leadership,انتخاب سبک بر اساس آمادگی کارمند در آن کار,رهبری موقعیتی,,پیوست 1 / سراسر کتاب
هوش هیجانی,Emotional Intelligence,شناخت و مدیریت احساس خود و دیگران,هوش هیجانی,,پیوست 1 / سراسر کتاب
اعتبار,Credibility,باورپذیری رهبر از راه رفتار و کفایت,اعتبار,,پیوست 1 / سراسر کتاب
رهبری تغییر,Leading Change,هدایت مردم در مسیر تغییر سازمانی,رهبری تغییر,,پیوست 1 / سراسر کتاب
ارتباط,Communication,انتقال پیام به‌گونه‌ای که معنا درست فهمیده شود,ارتباط,,پیوست 1 / سراسر کتاب
شنیدن فعال,Active Listening,گوش دادن با توجه، پرسش و بازگویی,شنیدن فعال,,پیوست 1 / سراسر کتاب
بازگویی,Paraphrase,خلاصه کردن حرف طرف مقابل برای تأیید فهم,بازگویی,,پیوست 1 / سراسر کتاب
ارتباط نوشتاری,Written Communication,مکتوب، ایمیل، راپور و صورت جلسه,ارتباط نوشتاری,گزارش,پیوست 1 / سراسر کتاب
ارتباط شفاهی,Verbal Communication,گفت‌وگو، جلسه، تماس و ارائه,ارتباط شفاهی,,پیوست 1 / سراسر کتاب
مانع ارتباطی,Communication Barrier,هر چیزی که فهم درست پیام را دشوار می‌کند,مانع ارتباطی,,پیوست 1 / سراسر کتاب
گفت‌وگوی دشوار,Difficult Conversation,گفت‌وگویی با پیام ناخوشایند یا حساس,گفت‌وگوی دشوار,,پیوست 1 / سراسر کتاب
صورت جلسه,Meeting Minutes,سند تصمیم‌ها، مسئولان و مهلت‌ها,صورت جلسه,,پیوست 1 / سراسر کتاب
اجندا,Agenda,فهرست بند‌های جلسه با مسئول و زمان,اجندا,,پیوست 1 / سراسر کتاب
راپور,Report,سند اطلاعاتی برای تصمیم‌گیری,راپور,گزارش,پیوست 1 / سراسر کتاب
شکل دادن به تغییر,Change Management,مدیریت مرحله‌ای تغییر و تثبیت آن,شکل دادن به تغییر,,پیوست 1 / سراسر کتاب
مقاومت,Resistance,واکنش در برابر تغییر، معمولاً از ترس ابهام,مقاومت,,پیوست 1 / سراسر کتاب
تثبیت,Institutionalization,تبدیل تغییر به رویه، سند و عادت,تثبیت,,پیوست 1 / سراسر کتاب
نوآوری,Innovation,ساختن روش یا راه‌حل تازه برای بهتر شدن کار,نوآوری,,پیوست 1 / سراسر کتاب
بهبود مداوم,Continuous Improvement,تغییر‌های کوچک، منظم و پایدار برای بهتر شدن,بهبود مداوم,,پیوست 1 / سراسر کتاب
کنترول,Controlling,سنجش عملکرد، مقایسه با استاندارد و اقدام اصلاحی,کنترول,,پیوست 1 / سراسر کتاب
استاندارد,Standard,سطح مورد انتظار عملکرد,استاندارد,,پیوست 1 / سراسر کتاب
نظارت,Monitoring,پیگیری منظم پیشرفت کار,نظارت,,پیوست 1 / سراسر کتاب
فاصله,Variance,تفاوت عملکرد واقعی با استاندارد,فاصله,,پیوست 1 / سراسر کتاب
اقدام اصلاحی,Corrective Action,کاری که برای بستن فاصله انجام می‌شود,اقدام اصلاحی,,پیوست 1 / سراسر کتاب
کیفیت,Quality,انطباق خدمت با معیار‌های فنی و انتظار مراجع,کیفیت,,پیوست 1 / سراسر کتاب
کنترول داخلی,Internal Controls,رویه‌های حفاظت از دارایی و دقت معلومات,کنترول داخلی,,پیوست 1 / سراسر کتاب
تفکیک وظایف,Segregation of Duties,جدا کردن مراحل خرید، تأیید و تحویل,تفکیک وظایف,,پیوست 1 / سراسر کتاب
پیگیری,Follow-up,بازبینی اجرای تصمیم و توافق در تاریخ معین,پیگیری,,پیوست 1 / سراسر کتاب
مدیریت زمان,Time Management,سامان دادن وقت بر اساس اهمیت کار,مدیریت زمان,,پیوست 1 / سراسر کتاب
ماتریس اولویت,Priority Matrix,جدول مهم/فوری برای ترتیب کار‌ها,ماتریس اولویت,,پیوست 1 / سراسر کتاب
مدیریت جلسه,Meeting Management,برنامه‌ریزی، هدایت و پیگیری جلسه,مدیریت جلسه,,پیوست 1 / سراسر کتاب
ارائه,Presentation,انتقال پیام به جمع، با ساختار و درخواست روشن,ارائه,,پیوست 1 / سراسر کتاب
مدیریت ذی‌نفعان,Stakeholder Management,شناخت، ارتباط و همراه‌سازی ذی‌نفعان,مدیریت ذی‌نفعان,,پیوست 1 / سراسر کتاب
مدیریت در فشار,Managing Under Pressure,حفظ اولویت، حضور و ثبات رفتار در بحران,مدیریت در فشار,,پیوست 1 / سراسر کتاب
سیاههٔ موضوع,Issue Log,ثبت موضوع‌های باز با اقدام و مهلت,سیاههٔ موضوع,,پیوست 1 / سراسر کتاب
ماتریس مسئولیت,Responsibility Matrix,جدول انجام‌دهنده، تأییدکننده، مشوره‌دهنده و مطلع,ماتریس مسئولیت,,پیوست 1 / سراسر کتاب
پیگیر عملکرد,Performance Tracker,جدول شاخص، هدف، واقعی، فاصله و اقدام,پیگیر عملکرد,,پیوست 1 / سراسر کتاب
نقشهٔ ذی‌نفعان,Stakeholder Map,تحلیل منفعت، قدرت و موضع ذی‌نفعان,نقشهٔ ذی‌نفعان,,پیوست 1 / سراسر کتاب
پلان ارتباط,Communication Plan,تعیین پیام، مخاطب، شکل، دوره و مسئول ارتباط,پلان ارتباط,,پیوست 1 / سراسر کتاب
بازبینی,Review,بررسی نتیجه تصمیم یا دورهٔ کار در زمان معین,بازبینی,,پیوست 1 / سراسر کتاب
پیوستگی خدمت,Continuity of Service,تضمین ادامهٔ خدمت در زمان تغییر یا خروج,پیوستگی خدمت,,پیوست 1 / سراسر کتاب
