dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,source_authority,usage_notes,first_appearance
تفاوت بودجه,Variance,,,تفاوت بودجه,,Afghan clinical/administrative usage (see پیوست ۵),—,
پیش‌پرداخت,Advance,,,پیش‌پرداخت,,Afghan clinical/administrative usage (see پیوست ۵),—,
تصفیه پیش‌پرداخت,Advance Clearance,,,تصفیه پیش‌پرداخت,تسویه,Afghan clinical/administrative usage (see پیوست ۵),«تسویه» (ایرانی),
اسناد حمایتی,Supporting Documents,,,اسناد حمایتی,,Afghan clinical/administrative usage (see پیوست ۵),«مستندات» در این معنی,
پول نقد,Cash,,,پول نقد,,Afghan clinical/administrative usage (see پیوست ۵),—,
حسابرسی,Audit,,,حسابرسی,ممیزی,Afghan clinical/administrative usage (see پیوست ۵),«ممیزی» (ایرانی),
شرح وظایف,Terms of Reference,,ToR,شرح وظایف,,Afghan clinical/administrative usage (see پیوست ۵),«شرایط مرجع» ترجمه لفظی است,
اعلان وظیفه,Vacancy Announcement,,VA,اعلان وظیفه,آگهی استخدام,Afghan clinical/administrative usage (see پیوست ۵),«آگهی استخدام» (ایرانی),
لیست کوتاه,Shortlisting,,,لیست کوتاه,,Afghan clinical/administrative usage (see پیوست ۵),—,
حاضری,Attendance,,,حاضری,حضور و غیاب,Afghan clinical/administrative usage (see پیوست ۵),«حضور و غیاب» (ایرانی),
رخصتی,Leave,,,رخصتی,مرخصی,Afghan clinical/administrative usage (see پیوست ۵),«مرخصی» (ایرانی),
رخصتی زایمان,Maternity Leave,,,رخصتی زایمان,,Afghan clinical/administrative usage (see پیوست ۵),—,
ارزیابی عملکرد,Performance Evaluation,,,ارزیابی عملکرد,,Afghan clinical/administrative usage (see پیوست ۵),—,
روند اجرایات,Disciplinary Process,,,روند اجرایات,,Afghan clinical/administrative usage (see پیوست ۵),«تخلفات اداری» در این معنی,
محرمیت,Confidentiality,,,محرمیت,محرمانگی,Afghan clinical/administrative usage (see پیوست ۵),«محرمانگی» (ایرانی),
اجرائیه,Executive Board,,,اجرائیه,,Afghan clinical/administrative usage (see پیوست ۵),—,
شورای عالی صحت عامه,High Council of Public Health,,,شورای عالی صحت عامه,,Afghan clinical/administrative usage (see پیوست ۵),—,
Stakeholder,Stakeholder,,,Stakeholder,,Afghan clinical/administrative usage (see پیوست ۵),«ذی‌نفعان» (ترجمه لفظی) — در متن دری، همان Stakeholder یا «شریک/طرف مربوط»,
Service Provider,Service Provider,,SP,Service Provider,,Afghan clinical/administrative usage (see پیوست ۵),«سازمان تطبیق‌کننده» در متن این کتاب,
راپور ماهوار,Monthly Report,,,راپور ماهوار,گزارش ماهانه,Afghan clinical/administrative usage (see پیوست ۵),«گزارش ماهانه» (ایرانی),
راپور ربعوار,Quarterly Report,,,راپور ربعوار,گزارش فصلی,Afghan clinical/administrative usage (see پیوست ۵),«گزارش فصلی» (ایرانی),
راپور روایتی,Narrative Report,,,راپور روایتی,,Afghan clinical/administrative usage (see پیوست ۵),—,
خلاصه اجرائی,Executive Summary,,,خلاصه اجرائی,,Afghan clinical/administrative usage (see پیوست ۵),—,
پلان اقدام,Action Plan,,,پلان اقدام,برنامه عملیاتی,Afghan clinical/administrative usage (see پیوست ۵),«برنامه عملیاتی» (ایرانی),
راپور حادثه‌ای,Incident Report,,,راپور حادثه‌ای,,Afghan clinical/administrative usage (see پیوست ۵),—,
شاخص کلیدی عملکرد,Key Performance Indicator,,KPI,شاخص کلیدی عملکرد,,Afghan clinical/administrative usage (see پیوست ۵),—,
خطر,Risk,,,خطر,,Afghan clinical/administrative usage (see پیوست ۵),چیزی که ممکن است اتفاق بیفتد,
مشکل,Issue,,,مشکل,,Afghan clinical/administrative usage (see پیوست ۵),چیزی که قبلاً اتفاق افتاده,
تشدید / بالا بردن مشکل,Escalation,,,تشدید / بالا بردن مشکل,,Afghan clinical/administrative usage (see پیوست ۵),—,
نظارت,Monitoring,,,نظارت,,Afghan clinical/administrative usage (see پیوست ۵),در جریان کار,
ارزیابی,Evaluation,,,ارزیابی,,Afghan clinical/administrative usage (see پیوست ۵),بعد از تمام شدن کار,
پیگیری,Follow-up,,,پیگیری,,Afghan clinical/administrative usage (see پیوست ۵),—,
اولویت‌بندی,Prioritization,,,اولویت‌بندی,,Afghan clinical/administrative usage (see پیوست ۵),—,
حفاظت از استثمار و سوء استفاده جنسی,Protection from Sexual Exploitation and Abuse,,PSEA,حفاظت از استثمار و سوء استفاده جنسی,,Afghan clinical/administrative usage (see پیوست ۵),—,
گزارش الزامی,Mandatory Reporting,,,گزارش الزامی,,Afghan clinical/administrative usage (see پیوست ۵),—,
عدم تحمل مطلق,Zero Tolerance,,,عدم تحمل مطلق,,Afghan clinical/administrative usage (see پیوست ۵),—,
شفافیت,Transparency,,,شفافیت,,Afghan clinical/administrative usage (see پیوست ۵),—,
پاسخگویی,Accountability,,,پاسخگویی,,Afghan clinical/administrative usage (see پیوست ۵),—,
حساسیت جنسیتی,Gender Sensitivity,,,حساسیت جنسیتی,,Afghan clinical/administrative usage (see پیوست ۵),—,
توانمندسازی زنان,Women Economic Empowerment,,WEE,توانمندسازی زنان,,Afghan clinical/administrative usage (see پیوست ۵),—,
