dari_term,english_term,latin_term,abbreviation,preferred_form,forbidden_forms,accepted_variants,source_authority,usage_notes,first_appearance,decision,confidence
شفاخانه,Hospital,,,شفاخانه (Hospital),بیمارستان,,Afghan MoPH official recruitment register (moph.gov.af) — «شف دیپارتمنت پتالوژی ولابراتوار»، «شفاخانه» ; corroborated by Kabul University of Medical Sciences — kums.edu.af news bulletin «دیپارتمنت فزیوتراپی در شفاخانه تدریسی علی آباد پوهنتون علوم طبی کابل طی محفلی افتتاح شد» (۱۴۰۱/۹/۳۰) — «… در شفاخانه تدریسی علی آباد پوهنتون علوم طبی کابل»,,Ch01,AFGHAN STANDARD,HIGH
محصل,Student,,,محصل (Student),دانشجو,,Afghan MoHE curriculum document (logu.edu.af) — «محصلان می توانند …» ; corroborated by Kabul University of Medical Sciences — kums.edu.af news bulletin «دیپارتمنت فزیوتراپی در شفاخانه تدریسی علی آباد پوهنتون علوم طبی کابل طی محفلی افتتاح شد» (۱۴۰۱/۹/۳۰) — «… محصلینی‌که به این دیپارتمنت … معرفی شدند»,Afghan: «محصلین» in every Afghan curriculum document.,Ch01,AFGHAN STANDARD,HIGH
پوهنحی,Faculty (of a university),,,پوهنحی (Faculty (of a university)),دانشکده,,Afghan MoHE academic-post announcement (mohe.gov.af) — «بست هستوپتالوژی پوهنحی طب»,Afghan: پوهنحی طب معالجوی. University = پوهنتون.,Ch01,AFGHAN STANDARD,HIGH
مریضی,Disease,,,مریضی (Disease),بیماری,,"Afghan MoE Biology Grade 7 (moe.gov.af, Kabul 1398) — «چرا مریض میشوید و به داکتر مراجعه میکنید؟»؛ «امراض مختلف»",Afghan: «مریضی سل»، «امراض». Iranian standard is بیماری.,Ch01,AFGHAN STANDARD,HIGH
مریض,Patient,,,مریض (Patient),بیمار,,Kabul University of Medical Sciences — kums.edu.af news bulletin «دیپارتمنت فزیوتراپی در شفاخانه تدریسی علی آباد پوهنتون علوم طبی کابل طی محفلی افتتاح شد» (۱۴۰۱/۹/۳۰) — «… مصدر خدمت به مریضان که نیاز دارند شده باشیم»,Afghan clinical register: «مریضان».,Ch01,AFGHAN STANDARD,HIGH
امراض,Diseases,,,امراض (Diseases),بیماری‌ها,,"Afghan MoE Biology Grade 7 (moe.gov.af, Kabul 1398) — «در مورد امراض مختلف؛ مانند: انفلونزا، ایدز»",The Afghan institutional plural («امراض جلدی»، «امراض هاضمه»); accepted alongside مریضی‌ها.,Ch01,AFGHAN STANDARD,HIGH
تداوی,Treatment,,,تداوی (Treatment),درمان;معالجه,,Kabul University of Medical Sciences — kums.edu.af news bulletin «دیپارتمنت فزیوتراپی در شفاخانه تدریسی علی آباد پوهنتون علوم طبی کابل طی محفلی افتتاح شد» (۱۴۰۱/۹/۳۰) — «… روی بخش‌های وقایوی و تداوی آن صحبت کرده»,Wikipedia's Afghan/Iranian differential list records «تداوی: درمان». Afghan MoPH and every Afghan hospital site use تداوی.,Ch01,AFGHAN STANDARD,HIGH
وقایه,Prevention,,,وقایه (Prevention),پیشگیری,,Afghan MoE Science Grade 12 (moe.gov.af) — «وقايه: تطبيق واکسين مربوطه از تولد الي سن پنج سالگي»,Afghan: «قابل اجتناب (وقایه یا تداوی)».,Ch05,AFGHAN STANDARD,HIGH
اسلاید,Slide,,,اسلاید (Slide),لام;لام میکروسکوپی,,"Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit. Afghan MoE Biology Grade 7 (moe.gov.af, Kabul 1398) uses «سالید» for a microscope slide; اسلاید is the established laboratory form.",English retained and used as the Afghan technical word.,Ch01,COMMON AFGHAN TRANSLITERATION,MEDIUM
رنگ‌آمیزی,Staining,,,رنگ‌آمیزی (Staining),,,"AfghanVet, Afghan biology text (afghanvet.blogspot.com) — «بعد از رنگ‌آمیزی در زیر مایکروسکوپ»",Written with ZWNJ. Not an Iranian-specific form.,Ch01,AFGHAN STANDARD,HIGH
مایکروسکوپ,Microscope,,,مایکروسکوپ (Microscope),میکروسکوپ,,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — ch.1 «مایکروسکوپ و انواع آن»؛ «مایکروسکوپ مرکب نوری»","Afghan sources write مایکروسکوپ (AfghanVet, khateb texts).",Ch01,AFGHAN STANDARD,HIGH
مایکروسکوپ نوری,Light microscope (LM),,LM,مایکروسکوپ نوری (Light microscope (LM)),,,"Afghan MoE Biology Grade 7 (moe.gov.af, Kabul 1398) — «مایکروسکوپ مرکب نوری»، «مایکروسکوپ نوری و اجزای آن»",Abbreviated LM in English text throughout the book.,Ch01,AFGHAN STANDARD,HIGH
مایکروسکوپ الکترونی,Electron microscope,,,مایکروسکوپ الکترونی (Electron microscope),,,"Afghan MoE Biology Grade 7 (moe.gov.af, Kabul 1398) — «مایکروسکوپ الکتروني: … قوۀ بزرگ نمایی بیشتر از 250000»",TEM = مایکروسکوپ الکترونی انتقالی; SEM = مایکروسکوپ الکترونی سکنی.,Ch01,AFGHAN STANDARD,HIGH
تثبیت,Fixation,,,تثبیت (Fixation),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Also written فیکساتیو (English transliteration).,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
فرمالین,Formalin,,,فرمالین (Formalin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan texts also use فرمالین/فورمالین interchangeably; استاندارد = فرمالین.,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
پارافین,Paraffin,,,پارافین (Paraffin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
میکروتوم,Microtome,,,میکروتوم (Microtome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
بیوپسی,Biopsy,,,بیوپسی (Biopsy),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan clinical form; English also used in full.,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
آرتیفکت,Artifact,,,آرتیفکت (Artifact),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
هماتوکسیلین,Hematoxylin,,,هماتوکسیلین (Hematoxylin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
ائوزین,Eosin,,,ائوزین (Eosin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),The H&E pair; H&E is kept as the English abbreviation.,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
بازوفیلی,Basophilia,,,بازوفیلی (Basophilia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
ائوزینوفیلی,Eosinophilia,,,ائوزینوفیلی (Eosinophilia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
متاکرومازی,Metachromasia,,,متاکرومازی (Metachromasia),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Classic exam point: mast-cell granules.,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
تولوئیدین‌بلو,Toluidine blue,,,تولوئیدین‌بلو (Toluidine blue),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
ایمونوهیستوشیمی,Immunohistochemistry,,IHC,ایمونوهیستوشیمی (Immunohistochemistry),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Abbreviated IHC.,Ch01,COMMON AFGHAN TRANSLITERATION,HIGH
سیتوپلاسم,Cytoplasm,,,سیتوپلاسم (Cytoplasm),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"All three spellings circulate in Afghan texts (سیتوپلاسم, سیتوپلازم, سایتوپلازم). The book standardises on سیتوپلاسم (AfghanVet form). Variants accepted, NOT forbidden. Do not add سیتوپلازم or سایتوپلازم to forbidden_forms.",Ch02,AFGHAN STANDARD,MEDIUM
سیتوزول,Cytosol,,,سیتوزول (Cytosol),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Also written سایتوزول; both accepted.,Ch02,AFGHAN STANDARD,MEDIUM
غشای حجروی,Cell membrane,,,غشای حجروی (Cell membrane),غشای سلولی,غشای پلاسمایی,"Afghan MoE textbook, Biology Grade 7 (moe.gov.af, Kabul, 1398 h.s.) — «غشای حجروی: به‌نام غشای پالزمایی هم یاد میشود»","Afghan sources write «غشای حجره» / «حجروي غشا» (TolAfghan, wasiweb). پلاسمالما is kept as the English/Latin term where the exam needs it.",Ch02,AFGHAN STANDARD,HIGH
پلاسمالما,Plasma membrane,plasmalemma,,پلاسمالما (Plasma membrane),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),English/Latin term retained for exam recognition.,Ch02,ENGLISH RETAINED,HIGH
مالیکول,Molecule,,,مالیکول (Molecule),مولکول,,Afghan MoHE official book list — «معافیت حجروی و مالیکولی» (Kabul 1400); TolAfghan (tolafghan.com) biology text.,Afghan transliteration is مالیکول/مالیکولی. مولکول is the Iranian form.,Ch02,AFGHAN STANDARD,HIGH
ایون,Ion,,,ایون (Ion),یون,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,Afghan transliteration ایون. یون is the Iranian form. Note: the substring یون also occurs inside پیوند، اکسیداسیون، فیلتراسیون — those are ordinary words and must never be flagged.,Ch02,COMMON AFGHAN TRANSLITERATION,MEDIUM
انزایم,Enzyme,,,انزایم (Enzyme),آنزیم,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «انزایم گلوکز ۶ – فسفاتاز در سطح داخلی … شبکه اندوپلاسمی»",Afghan transliteration انزایم. آنزیم is the Iranian form.,Ch02,AFGHAN STANDARD,HIGH
کیمیاوی,Chemical,,,کیمیاوی (Chemical),شیمیایی,,"Afghan MoE textbook, Science Grade 12 (moe.gov.af) — «پیام‌رسان‌های کیمیاوی»، «مواد کیمیاوي»",Afghan form کیمیاوی/کیمیا. شیمیایی is the Iranian form. بیوشیمیایی (biochemical) is a legitimate compound and must NOT be flagged.,Ch02,AFGHAN STANDARD,HIGH
میتابولیسم,Metabolism,,,میتابولیسم (Metabolism),متابولیسم,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «دخالت در میتابولیسم قندها»",Afghan transliteration میتابولیسم.,Ch02,AFGHAN STANDARD,HIGH
ماتریکس,Matrix,extracellular matrix,ECM,ماتریکس (Matrix),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"International term, used throughout Afghan teaching. The Afghan variant بستره also occurs (TolAfghan) but is not required. Abbreviated ECM.",Ch02,ENGLISH RETAINED,HIGH
رایبوزوم,Ribosome,,,رایبوزوم (Ribosome),ریبوزوم,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «رایبوزوم»/«ریبوزوم» in the RER discussion; AfghanVet likewise","Afghan transliteration رایبوزوم, matching the Dari pronunciation.",Ch02,AFGHAN STANDARD,MEDIUM
شبکه آندوپلاسمی,Endoplasmic reticulum,,ER,شبکه آندوپلاسمی (Endoplasmic reticulum),شبکه درون‌یاخته‌ای,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «اعمال شبکه آندوپلاسمی(عمومی): دخالت در میتابولیسم قندها، انزایم گلوکز ۶-فسفاتاز در سطح داخلی یا غشای شبکه اندوپلاسمی»","Abbreviated ER; خشن = rough (RER), صاف/نرم = smooth (SER). «شبکه درون‌یاخته‌ای» is the Iranian purist coinage and is prohibited.",Ch02,AFGHAN STANDARD,HIGH
دستگاه گلژی,Golgi apparatus,,,دستگاه گلژی (Golgi apparatus),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan texts use دستگاه گلژی.,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
لایزوزوم,Lysosome,,,لایزوزوم (Lysosome),,لیزوزوم,"Afghan faculty histology text: خاتم النبیین University, «هستولوژی تئوری ۲» (muslimuniversity.edu.af) — writes لایزوزوم/لیزوزم",Both لایزوزوم and لیزوزوم occur in Afghan texts; لایزوزوم is the book standard.,Ch02,AFGHAN STANDARD,MEDIUM
پروتئازوم,Proteasome,,,پروتئازوم (Proteasome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
پراکسیزوم,Peroxisome,,,پراکسیزوم (Peroxisome),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
مایتوکندریا,Mitochondrion,,,مایتوکندریا (Mitochondrion),میتوکندریایی,مایتوکاندریا;میتوکندری,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «مایتوکاندریا (Mitochondria): در حجره، نوعی دستگاه انتقال انرژی»","Canonical per the project decision list. Afghan texts print both مایتوکندریا and مایتوکاندریا; the variant is ACCEPTED, not forbidden. Do not list مایتوکاندریا as forbidden. [NON-CANONICAL: میتوکندریایی]",Ch02,AFGHAN STANDARD,HIGH
کریستا,Crista,cristae,,کریستا (Crista),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Plural کریستاها. English retained.,Ch02,ENGLISH RETAINED,HIGH
سیتواسکلتون,Cytoskeleton,,,سیتواسکلتون (Cytoskeleton),,اسکلت حجروی,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),English retained; «اسکلت حجروی» is the Dari gloss.,Ch02,ENGLISH RETAINED,HIGH
میکروتوبول,Microtubule,,,میکروتوبول (Microtubule),ریزلوله,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan exam form is میکروتوبول. Do NOT list it as forbidden — it is not an Iranian form. [NON-CANONICAL: ریزلوله],Ch02,AFGHAN STANDARD,MEDIUM
میکروفیلامنت,Microfilament,,,میکروفیلامنت (Microfilament),ریزرشته,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),"Afghan exam form is میکروفیلامنت. The Dari compound ریزرشته is a literal morpheme translation of micro- + filament and carries no cited Afghan document, so it is prohibited (the pass-2 note that treated it as acceptable was a contradiction and was removed). [NON-CANONICAL: ریزرشته]",Ch02,AFGHAN STANDARD,MEDIUM
فیلامنت میانی,Intermediate filament,,,فیلامنت میانی (Intermediate filament),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,AFGHAN STANDARD,MEDIUM
مژک,Cilium,,,مژک (Cilium),,سیلیا;سلیا,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Both مژک and سیلیا/سلیا are attested in Afghan teaching material (the خاتم النبیین text uses «مژک دار» and «سلیا دار» in the same chapter). مژک is the book standard; سیلیا is accepted. Do NOT forbid سیلیا.,Ch02,AFGHAN STANDARD,MEDIUM
میکروویلی,Microvillus,,,میکروویلی (Microvillus),ریزپرز,مایکروویلای,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit.,Afghan transliteration; the Pashto teaching text writes مایکروویلای. ریزپرز is the Iranian form. [NON-CANONICAL: ریزپرز],Ch02,COMMON AFGHAN TRANSLITERATION,MEDIUM
استروئید,Steroid,,,استروئید (Steroid),استرویید,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Afghan histology and biology texts write استروئید. استرویید is the Iranian transliteration.,Ch02,AFGHAN STANDARD,MEDIUM
کاربوهایدریت,Carbohydrate,,,کاربوهایدریت (Carbohydrate),کربوهیدرات;کربوهیدرات‌ها;کربوهیدرات‌های;کربوهیدراتی;کربوهیدراتیِ;کاربوهیدرات,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «… و سایر لیپیدها ۴ فیصد و کاربوهایدریت‌ها ۳ فیصد»","CANONICAL Afghan-Dari form (owner decision, 2026-09-21). Attested in an Afghan cell-physiology text: TolAfghan, «فزیولوژی حجره», «… سایر لیپیدها ۴ فیصد و کاربوهایدریت‌ها ۳ فیصد». This is the established Afghan transliteration pattern (cf. کاربن), NOT a morpheme-by-morpheme construction. English «Carbohydrate» may follow in parentheses at first use where that helps the reader. The Persian/Iranian transliteration is NOT used in this book (owner decision). «قندها» (sugars) is a general biological expression used in Afghan school books and is NOT the medical term for Carbohydrate. Plural کاربوهایدریت‌ها · adjective کاربوهایدریتی. Every form in this row's forbidden list is NON-CANONICAL by owner decision — prohibited for this book, not automatically because Iran uses it.",Ch1 (PAS); Ch2 (glycocalyx); Ch5 (GAG),COMMON AFGHAN TRANSLITERATION,HIGH
فسفوریلیشن,Phosphorylation,,,فسفوریلیشن (Phosphorylation),فسفریلاسیون;فسفوریلاسیون,,"TolAfghan (tolafghan.com), «فزیولوژی حجره» — Afghan cell-physiology text — «انرژی کیمیاوی موجود در مواد غذایی با عمل فسفوریلیشن اکسیداتیو، به صورت پیوندهای پرانرژی فسفات (ATP) ذخیره شود»","Afghan texts write «فسفوریلیشن اکسیداتیو» (TolAfghan, خاتم النبیین).",Ch02,AFGHAN STANDARD,HIGH
اگزوسایتوز,Exocytosis,,,اگزوسایتوز (Exocytosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
اندوسایتوز,Endocytosis,,,اندوسایتوز (Endocytosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
فاگوسایتوز,Phagocytosis,,,فاگوسایتوز (Phagocytosis),بیگانه‌خواری,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
پینوسایتوز,Pinocytosis,,,پینوسایتوز (Pinocytosis),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
گلیکوکالیکس,Glycocalyx,,,گلیکوکالیکس (Glycocalyx),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
گلیکوزیلاسیون,Glycosylation,,,گلیکوزیلاسیون (Glycosylation),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
لیپوفوسین,Lipofuscin,,,لیپوفوسین (Lipofuscin),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),Wear-and-tear pigment.,Ch02,COMMON AFGHAN TRANSLITERATION,HIGH
هسته,Nucleus,,,هسته (Nucleus),,,Established English-derived transliteration retained as the term Afghan readers recognise; no Afghanistan-specific documentary source located in this audit (see editorial/terminology-decisions.md §14),,Ch03,AFGHAN STANDARD,MEDIUM
